,latitude,longitude,property_type,accommodates,bathrooms_text,bedrooms,beds
1,34.09768,-118.34602,Private room in apartment,1,1.5 baths,1.0,1.0
6,33.9875,-118.432,Entire house,4,1 bath,2.0,2.0
7,34.095209999999994,-118.34801000000002,Private room in apartment,1,1.5 baths,1.0,2.0
9,34.115429999999996,-118.2609,Entire guesthouse,4,1 bath,1.0,2.0
11,33.99638,-118.47733999999998,Private room in apartment,1,1 shared bath,1.0,1.0
13,34.05437,-118.35641000000001,Private room in apartment,2,2 baths,1.0,2.0
15,34.11479,-118.32288999999999,Entire guest suite,2,1 bath,1.0,1.0
17,34.058640000000004,-118.34352,Entire apartment,5,1 bath,2.0,3.0
19,34.11959,-118.32056000000001,Entire apartment,2,1 bath,1.0,1.0
20,33.99025,-118.45374,Entire house,8,2 baths,3.0,4.0
23,34.04244,-118.3522,Entire bungalow,2,1 bath,1.0,1.0
25,33.99179,-118.45056000000001,Entire house,7,2 baths,3.0,0.0
26,34.08517,-118.28473999999999,Private room in house,2,1 private bath,1.0,1.0
27,33.98012,-118.4649,Entire guesthouse,2,1 bath,1.0,1.0
28,34.112970000000004,-118.32337,Entire guesthouse,2,1 bath,1.0,1.0
29,34.11821,-118.32178,Entire guesthouse,2,1 bath,1.0,1.0
32,34.00416,-118.46602,Entire house,2,1 bath,1.0,1.0
33,34.11861,-118.32019,Entire guest suite,2,1 bath,1.0,1.0
34,33.98798,-118.47301000000002,Entire bungalow,2,1 bath,1.0,1.0
36,34.1078,-118.21864,Entire house,5,1 bath,2.0,2.0
37,34.04123,-118.45496999999999,Entire townhouse,6,2.5 baths,3.0,3.0
38,34.047270000000005,-118.44058000000001,Entire apartment,1,1 bath,1.0,1.0
39,34.166779999999996,-118.64374,Private room in house,2,1 shared bath,1.0,0.0
40,34.11378,-118.32522,Entire guest suite,2,1 bath,2.0,2.0
42,34.10313,-118.28628,Private room in apartment,3,1.5 shared baths,1.0,2.0
44,34.00095,-118.43381000000001,Private room in house,2,2 shared baths,1.0,1.0
48,34.11207,-118.32319,Entire guest suite,2,1 bath,1.0,1.0
49,34.05827,-118.34061000000001,Private room in house,2,1 shared bath,1.0,1.0
50,34.04034,-118.38207,Private room in apartment,2,1.5 shared baths,1.0,2.0
52,34.09179,-118.33111000000001,Entire house,2,1 bath,1.0,2.0
53,34.19684,-118.45929,Private room in house,2,1.5 shared baths,1.0,1.0
55,34.10642,-118.22391,Private room in house,3,1 private bath,1.0,0.0
56,34.09621,-118.27705,Entire bungalow,4,1 bath,1.0,3.0
58,34.08556,-118.28338000000001,Entire guesthouse,2,1 bath,1.0,1.0
63,34.09596,-118.34985,Entire guesthouse,2,1 bath,1.0,1.0
64,34.120259999999995,-118.26773,Entire bungalow,2,1 bath,1.0,1.0
66,34.11893,-118.32189,Entire apartment,6,1 bath,1.0,2.0
67,34.08976,-118.26953999999999,Private room in house,1,1 private bath,1.0,1.0
70,34.06132,-118.3703,Entire apartment,2,1 bath,1.0,1.0
74,33.99201,-118.4699,Entire condominium,6,2 baths,2.0,2.0
76,34.11547,-118.32416,Private room in house,2,1 bath,1.0,1.0
77,34.116609999999994,-118.28776,Entire guesthouse,2,1 bath,1.0,1.0
81,34.03853,-118.33628,Private room in house,4,1 private bath,1.0,2.0
82,34.03045,-118.40618,Private room in apartment,1,1 shared bath,1.0,1.0
83,34.04079,-118.30837,Private room in house,2,1.5 shared baths,1.0,1.0
86,34.05832,-118.34105,Private room in house,2,1 shared bath,1.0,1.0
88,34.08333,-118.27951000000002,Entire house,2,1 bath,1.0,1.0
90,34.05966,-118.35401999999999,Entire apartment,1,1 bath,1.0,3.0
91,34.10805,-118.34111000000001,Entire townhouse,4,1 bath,1.0,1.0
