,price
1,71.0
6,125.0
7,73.0
9,89.0
11,85.0
13,74.0
15,195.0
17,155.0
19,289.0
20,425.0
23,123.0
25,282.0
26,75.0
27,124.0
28,199.0
29,171.0
32,297.0
33,178.0
34,130.0
36,285.0
37,370.0
38,96.0
39,65.0
40,264.0
42,90.0
44,66.0
48,275.0
49,75.0
50,48.0
52,130.0
53,45.0
55,59.0
56,135.0
58,150.0
63,110.0
64,75.0
66,100.0
67,99.0
70,135.0
74,417.0
76,131.0
77,395.0
81,89.0
82,55.0
83,49.0
86,75.0
88,125.0
90,119.0
91,90.0
94,63.0
95,379.0
96,95.0
97,90.0
98,125.0
99,105.0
100,105.0
101,315.0
103,60.0
104,59.0
107,1395.0
108,75.0
110,169.0
112,94.0
114,46.0
115,80.0
122,85.0
123,110.0
124,1179.0
127,146.0
128,140.0
129,89.0
130,120.0
131,195.0
132,91.0
133,90.0
135,325.0
140,165.0
141,119.0
143,195.0
145,160.0
148,130.0
149,152.0
150,125.0
151,75.0
152,75.0
154,45.0
155,100.0
156,59.0
157,110.0
158,133.0
159,71.0
160,105.0
161,110.0
162,115.0
163,340.0
165,85.0
166,99.0
167,170.0
168,170.0
170,106.0
172,168.0
173,66.0
174,151.0
176,62.0
177,856.0
178,38.0
181,92.0
182,88.0
183,60.0
185,66.0
187,279.0
188,1299.0
192,130.0
194,75.0
195,70.0
197,155.0
198,135.0
199,813.0
200,139.0
201,169.0
205,550.0
206,235.0
207,65.0
211,336.0
214,67.0
215,222.0
216,169.0
220,121.0
222,184.0
223,189.0
224,126.0
226,114.0
230,120.0
234,65.0
235,35.0
238,114.0
240,354.0
241,156.0
243,65.0
244,35.0
245,40.0
246,65.0
248,35.0
249,50.0
250,95.0
251,73.0
252,125.0
253,35.0
254,35.0
255,69.0
256,150.0
257,98.0
258,185.0
259,60.0
263,175.0
265,64.0
266,110.0
268,308.0
271,170.0
273,110.0
274,125.0
275,117.0
276,240.0
279,67.0
282,130.0
286,185.0
287,95.0
289,100.0
291,125.0
293,319.0
295,150.0
296,343.0
297,120.0
299,175.0
300,410.0
304,135.0
306,85.0
307,35.0
309,114.0
310,70.0
311,79.0
312,35.0
313,35.0
316,689.0
318,55.0
322,250.0
326,68.0
327,150.0
328,135.0
340,42.0
341,173.0
344,85.0
345,55.0
348,75.0
349,93.0
350,339.0
352,85.0
353,180.0
354,286.0
356,550.0
357,125.0
359,350.0
361,99.0
362,85.0
366,62.0
368,180.0
369,99.0
374,50.0
375,45.0
376,150.0
377,115.0
378,240.0
382,88.0
384,96.0
387,250.0
390,156.0
391,100.0
394,95.0
396,65.0
399,450.0
401,400.0
402,215.0
404,178.0
405,300.0
406,99.0
408,400.0
409,290.0
411,906.0
416,100.0
419,69.0
420,450.0
426,110.0
427,288.0
428,295.0
430,55.0
433,120.0
434,63.0
436,99.0
438,95.0
439,106.0
440,114.0
441,704.0
442,123.0
443,349.0
444,170.0
445,499.0
447,450.0
448,299.0
453,104.0
456,91.0
458,119.0
460,257.0
462,45.0
466,139.0
468,286.0
469,186.0
470,97.0
473,66.0
479,133.0
483,135.0
484,404.0
490,45.0
491,39.0
493,55.0
497,195.0
498,200.0
499,120.0
501,110.0
502,140.0
513,165.0
516,135.0
517,48.0
519,100.0
520,265.0
521,195.0
523,149.0
525,163.0
526,98.0
527,149.0
528,200.0
530,75.0
532,195.0
533,175.0
534,345.0
535,99.0
536,85.0
537,170.0
540,117.0
543,210.0
544,129.0
546,125.0
547,129.0
548,109.0
550,250.0
553,235.0
554,150.0
555,128.0
556,464.0
557,185.0
558,300.0
559,300.0
560,138.0
564,121.0
565,275.0
568,40.0
570,139.0
571,295.0
574,100.0
575,68.0
576,214.0
577,188.0
578,450.0
579,164.0
580,250.0
581,75.0
586,129.0
588,169.0
591,74.0
592,175.0
594,125.0
597,120.0
598,99.0
600,80.0
601,129.0
604,120.0
606,85.0
607,155.0
610,56.0
612,350.0
619,896.0
620,407.0
621,111.0
623,450.0
628,99.0
629,73.0
630,38.0
632,84.0
635,74.0
636,72.0
637,74.0
640,95.0
647,400.0
650,225.0
654,49.0
655,189.0
656,88.0
657,302.0
660,112.0
662,235.0
665,106.0
666,93.0
671,170.0
672,170.0
673,163.0
675,79.0
676,55.0
677,52.0
679,325.0
680,117.0
681,117.0
682,99.0
683,233.0
684,100.0
685,133.0
686,399.0
688,68.0
690,82.0
692,206.0
693,95.0
694,73.0
695,92.0
698,499.0
699,924.0
700,450.0
701,79.0
705,112.0
706,97.0
707,78.0
710,98.0
711,100.0
713,107.0
715,80.0
717,175.0
718,111.0
719,563.0
720,120.0
721,100.0
723,52.0
724,139.0
725,195.0
726,231.0
729,94.0
730,150.0
735,266.0
738,265.0
740,181.0
743,69.0
746,59.0
747,44.0
749,600.0
750,325.0
752,90.0
754,200.0
755,300.0
758,71.0
763,150.0
764,56.0
770,85.0
771,140.0
772,214.0
773,150.0
774,1229.0
775,99.0
776,149.0
778,71.0
779,275.0
780,55.0
782,600.0
786,55.0
787,87.0
794,128.0
795,280.0
799,95.0
800,95.0
801,290.0
802,113.0
803,93.0
804,265.0
809,399.0
814,82.0
816,250.0
819,85.0
820,61.0
821,100.0
827,120.0
829,55.0
830,232.0
832,179.0
834,80.0
835,249.0
836,115.0
837,96.0
839,147.0
843,140.0
845,267.0
849,71.0
851,83.0
854,105.0
855,92.0
856,205.0
857,150.0
861,90.0
863,695.0
864,150.0
865,55.0
866,400.0
869,40.0
872,175.0
873,146.0
874,145.0
882,140.0
884,117.0
887,250.0
888,55.0
889,132.0
890,40.0
898,175.0
904,508.0
905,105.0
906,259.0
907,119.0
910,350.0
911,230.0
912,105.0
916,210.0
919,129.0
921,99.0
924,140.0
925,60.0
926,50.0
927,58.0
928,95.0
930,349.0
936,325.0
937,285.0
938,120.0
939,121.0
940,250.0
942,84.0
945,650.0
946,260.0
948,55.0
951,160.0
952,80.0
953,41.0
954,105.0
955,54.0
957,88.0
960,220.0
962,170.0
963,304.0
964,292.0
965,250.0
969,165.0
971,69.0
972,110.0
974,155.0
977,140.0
979,95.0
980,180.0
984,275.0
987,380.0
989,236.0
990,149.0
992,308.0
994,560.0
996,55.0
997,300.0
998,159.0
999,95.0
1000,116.0
1002,42.0
1003,120.0
1004,500.0
1008,69.0
1009,375.0
1011,84.0
1012,70.0
1013,170.0
1014,105.0
1015,125.0
1019,128.0
1020,121.0
1021,103.0
1023,151.0
1025,165.0
1029,1250.0
1030,209.0
1031,100.0
1035,777.0
1036,85.0
1037,52.0
1039,375.0
1040,299.0
1041,85.0
1043,189.0
1044,110.0
1046,75.0
1048,95.0
1049,139.0
1051,150.0
1052,800.0
1054,95.0
1056,180.0
1059,173.0
1060,120.0
1061,167.0
1062,180.0
1071,49.0
1073,799.0
1076,115.0
1077,65.0
1078,120.0
1079,39.0
1080,75.0
1082,250.0
1084,139.0
1088,165.0
1095,65.0
1096,70.0
1097,95.0
1098,249.0
1103,115.0
1104,725.0
1106,146.0
1108,68.0
1109,44.0
1111,85.0
1112,107.0
1117,143.0
1119,74.0
1120,271.0
1121,302.0
